date,reg_rider,reg_driver,rider_to_driver_ratio
2025-04-06,190,40,4.75
2025-04-07,223,19,11.736842105263158
2025-04-08,181,18,10.055555555555555
2025-04-09,199,21,9.476190476190476
2025-04-10,228,23,9.91304347826087
2025-04-11,207,28,7.392857142857143
2025-04-12,189,22,8.590909090909092
2025-04-13,187,15,12.466666666666667
2025-04-14,175,32,5.46875
2025-04-15,196,27,7.2592592592592595
2025-04-16,211,23,9.173913043478262
2025-04-17,178,21,8.476190476190476
2025-04-18,250,18,13.88888888888889
2025-04-19,186,17,10.941176470588236
2025-04-20,208,14,14.857142857142858
2025-04-21,198,8,24.75
2025-04-22,154,10,15.4
2025-04-23,233,19,12.263157894736842
2025-04-24,171,25,6.84
2025-04-25,161,10,16.1
2025-04-26,135,13,10.384615384615385
2025-04-27,146,20,7.3
2025-04-28,179,19,9.421052631578947
2025-04-29,166,18,9.222222222222221
2025-04-30,210,11,19.09090909090909
2025-05-01,168,9,18.666666666666668
2025-05-02,168,15,11.2
2025-05-03,212,18,11.777777777777779
2025-05-04,173,12,14.416666666666666
2025-05-05,215,13,16.53846153846154
2025-05-06,173,14,12.357142857142858
2025-05-07,158,15,10.533333333333333
2025-05-08,175,10,17.5
2025-05-09,192,15,12.8
2025-05-10,162,16,10.125
2025-05-11,188,9,20.88888888888889
2025-05-12,178,14,12.714285714285714
2025-05-13,175,11,15.909090909090908
2025-05-14,190,17,11.176470588235293
2025-05-15,189,13,14.538461538461538
2025-05-16,187,13,14.384615384615385
2025-05-17,197,21,9.380952380952381
2025-05-18,188,16,11.75
2025-05-19,201,16,12.5625
2025-05-20,163,7,23.285714285714285
2025-05-21,234,12,19.5
2025-05-22,199,14,14.214285714285714
2025-05-23,164,13,12.615384615384615
2025-05-24,208,15,13.866666666666667
2025-05-25,200,11,18.181818181818183
2025-05-26,197,14,14.071428571428571
2025-05-27,188,20,9.4
2025-05-28,178,17,10.470588235294118
2025-05-29,173,9,19.22222222222222
2025-05-30,133,12,11.083333333333334
2025-05-31,160,15,10.666666666666666
2025-06-01,154,10,15.4
2025-06-02,194,18,10.777777777777779
2025-06-03,145,17,8.529411764705882
2025-06-04,163,13,12.538461538461538
2025-06-05,193,10,19.3
2025-06-06,206,7,29.428571428571427
2025-06-07,203,10,20.3
2025-06-08,206,10,20.6
2025-06-09,255,13,19.615384615384617
2025-06-10,186,19,9.789473684210526
2025-06-11,213,16,13.3125
2025-06-12,186,19,9.789473684210526
2025-06-13,150,10,15.0
2025-06-14,176,24,7.333333333333333
2025-06-15,164,20,8.2
2025-06-16,198,16,12.375
2025-06-17,168,25,6.72
2025-06-18,175,24,7.291666666666667
2025-06-19,160,16,10.0
2025-06-20,165,21,7.857142857142857
2025-06-21,196,11,17.818181818181817
2025-06-22,170,27,6.296296296296297
2025-06-23,181,13,13.923076923076923
2025-06-24,144,31,4.645161290322581
2025-06-25,189,70,2.7
2025-06-26,153,25,6.12
2025-06-27,153,20,7.65
2025-06-28,160,24,6.666666666666667
2025-06-29,156,32,4.875
2025-06-30,260,7,37.142857142857146
2025-07-01,255,21,12.142857142857142
2025-07-02,226,5,45.2
2025-07-03,147,21,7.0
2025-07-04,148,14,10.571428571428571
